"Notes"	"State"	"State Code"	"Month"	"Month Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
"Total"	"Alabama"	"01"	"Apr., 2016"	"2016/04"			2900	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Certain infectious and parasitic diseases"	"A00-B99"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Neoplasms"	"C00-D48"	580	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	79	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Mental and behavioural disorders"	"F01-F99"	131	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the nervous system"	"G00-G98"	296	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the circulatory system"	"I00-I99"	1046	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the respiratory system"	"J00-J98"	365	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the digestive system"	"K00-K92"	97	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the genitourinary system"	"N00-N98"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"External causes of morbidity and mortality"	"V01-Y89"	89	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"May, 2016"	"2016/05"			2916	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Certain infectious and parasitic diseases"	"A00-B99"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Neoplasms"	"C00-D48"	576	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	95	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Mental and behavioural disorders"	"F01-F99"	137	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the nervous system"	"G00-G98"	284	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the circulatory system"	"I00-I99"	989	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the respiratory system"	"J00-J98"	330	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the digestive system"	"K00-K92"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the genitourinary system"	"N00-N98"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"External causes of morbidity and mortality"	"V01-Y89"	89	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Jun., 2016"	"2016/06"			2807	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Certain infectious and parasitic diseases"	"A00-B99"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Neoplasms"	"C00-D48"	646	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Mental and behavioural disorders"	"F01-F99"	139	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the nervous system"	"G00-G98"	299	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the circulatory system"	"I00-I99"	969	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the respiratory system"	"J00-J98"	332	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the digestive system"	"K00-K92"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the genitourinary system"	"N00-N98"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	62	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"External causes of morbidity and mortality"	"V01-Y89"	79	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Jul., 2016"	"2016/07"			2939	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Certain infectious and parasitic diseases"	"A00-B99"	79	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Neoplasms"	"C00-D48"	603	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	95	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Mental and behavioural disorders"	"F01-F99"	136	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the nervous system"	"G00-G98"	297	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the circulatory system"	"I00-I99"	1030	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the respiratory system"	"J00-J98"	323	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the digestive system"	"K00-K92"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the genitourinary system"	"N00-N98"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	57	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"External causes of morbidity and mortality"	"V01-Y89"	83	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Aug., 2016"	"2016/08"			2916	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Certain infectious and parasitic diseases"	"A00-B99"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Neoplasms"	"C00-D48"	630	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Mental and behavioural disorders"	"F01-F99"	128	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Diseases of the nervous system"	"G00-G98"	302	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Diseases of the circulatory system"	"I00-I99"	1006	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Diseases of the respiratory system"	"J00-J98"	324	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Diseases of the digestive system"	"K00-K92"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Diseases of the genitourinary system"	"N00-N98"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"External causes of morbidity and mortality"	"V01-Y89"	67	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Sep., 2016"	"2016/09"			2837	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Certain infectious and parasitic diseases"	"A00-B99"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Neoplasms"	"C00-D48"	612	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Mental and behavioural disorders"	"F01-F99"	153	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the nervous system"	"G00-G98"	339	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the circulatory system"	"I00-I99"	1009	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the respiratory system"	"J00-J98"	368	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the digestive system"	"K00-K92"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the genitourinary system"	"N00-N98"	105	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"External causes of morbidity and mortality"	"V01-Y89"	88	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Oct., 2016"	"2016/10"			3010	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Certain infectious and parasitic diseases"	"A00-B99"	79	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Neoplasms"	"C00-D48"	605	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	107	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Mental and behavioural disorders"	"F01-F99"	174	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the nervous system"	"G00-G98"	345	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the circulatory system"	"I00-I99"	1025	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the respiratory system"	"J00-J98"	358	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the digestive system"	"K00-K92"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the genitourinary system"	"N00-N98"	112	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"External causes of morbidity and mortality"	"V01-Y89"	71	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Nov., 2016"	"2016/11"			3049	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Certain infectious and parasitic diseases"	"A00-B99"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Neoplasms"	"C00-D48"	627	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	116	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Mental and behavioural disorders"	"F01-F99"	180	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the nervous system"	"G00-G98"	376	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the circulatory system"	"I00-I99"	1235	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the respiratory system"	"J00-J98"	456	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the digestive system"	"K00-K92"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the genitourinary system"	"N00-N98"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"External causes of morbidity and mortality"	"V01-Y89"	76	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Dec., 2016"	"2016/12"			3433	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Certain infectious and parasitic diseases"	"A00-B99"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Neoplasms"	"C00-D48"	631	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	111	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Mental and behavioural disorders"	"F01-F99"	186	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Diseases of the nervous system"	"G00-G98"	382	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Diseases of the circulatory system"	"I00-I99"	1201	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Diseases of the respiratory system"	"J00-J98"	452	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Diseases of the digestive system"	"K00-K92"	80	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Diseases of the genitourinary system"	"N00-N98"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"External causes of morbidity and mortality"	"V01-Y89"	85	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Jan., 2017"	"2017/01"			3431	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Certain infectious and parasitic diseases"	"A00-B99"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Neoplasms"	"C00-D48"	559	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	119	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Mental and behavioural disorders"	"F01-F99"	154	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Diseases of the nervous system"	"G00-G98"	325	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Diseases of the circulatory system"	"I00-I99"	1045	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Diseases of the respiratory system"	"J00-J98"	468	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Diseases of the digestive system"	"K00-K92"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Diseases of the genitourinary system"	"N00-N98"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2017"	"2017/02"	"External causes of morbidity and mortality"	"V01-Y89"	78	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Feb., 2017"	"2017/02"			3064	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"Certain infectious and parasitic diseases"	"A00-B99"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"Neoplasms"	"C00-D48"	604	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	115	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"Mental and behavioural disorders"	"F01-F99"	180	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"Diseases of the nervous system"	"G00-G98"	347	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"Diseases of the circulatory system"	"I00-I99"	1156	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"Diseases of the respiratory system"	"J00-J98"	462	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"Diseases of the digestive system"	"K00-K92"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"Diseases of the genitourinary system"	"N00-N98"	101	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	60	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2017"	"2017/03"	"External causes of morbidity and mortality"	"V01-Y89"	78	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Mar., 2017"	"2017/03"			3295	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2017"	"2017/04"	"Certain infectious and parasitic diseases"	"A00-B99"	90	Not Applicable	Not Applicable
