"Notes"	"State"	"State Code"	"Month"	"Month Code"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the circulatory system"	"I00-I99"	1404	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the respiratory system"	"J00-J98"	461	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the digestive system"	"K00-K92"	163	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Diseases of the genitourinary system"	"N00-N98"	120	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Certain conditions originating in the perinatal period"	"P00-P96"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2016"	"2016/04"	"External causes of morbidity and mortality"	"V01-Y89"	326	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Apr., 2016"	"2016/04"			4246	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Certain infectious and parasitic diseases"	"A00-B99"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Neoplasms"	"C00-D48"	844	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	123	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Mental and behavioural disorders"	"F01-F99"	150	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the nervous system"	"G00-G98"	336	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the circulatory system"	"I00-I99"	1403	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the respiratory system"	"J00-J98"	467	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the digestive system"	"K00-K92"	157	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Diseases of the genitourinary system"	"N00-N98"	124	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Certain conditions originating in the perinatal period"	"P00-P96"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	100	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2016"	"2016/05"	"External causes of morbidity and mortality"	"V01-Y89"	366	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"May, 2016"	"2016/05"			4264	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Certain infectious and parasitic diseases"	"A00-B99"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Neoplasms"	"C00-D48"	840	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	148	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Mental and behavioural disorders"	"F01-F99"	159	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the nervous system"	"G00-G98"	315	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the circulatory system"	"I00-I99"	1328	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the respiratory system"	"J00-J98"	402	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the digestive system"	"K00-K92"	152	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Diseases of the genitourinary system"	"N00-N98"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Certain conditions originating in the perinatal period"	"P00-P96"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2016"	"2016/06"	"External causes of morbidity and mortality"	"V01-Y89"	389	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Jun., 2016"	"2016/06"			4107	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Certain infectious and parasitic diseases"	"A00-B99"	122	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Neoplasms"	"C00-D48"	925	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	151	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Mental and behavioural disorders"	"F01-F99"	155	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the nervous system"	"G00-G98"	322	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the circulatory system"	"I00-I99"	1279	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the respiratory system"	"J00-J98"	417	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the digestive system"	"K00-K92"	163	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Diseases of the genitourinary system"	"N00-N98"	136	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Certain conditions originating in the perinatal period"	"P00-P96"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	110	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2016"	"2016/07"	"External causes of morbidity and mortality"	"V01-Y89"	341	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Jul., 2016"	"2016/07"			4190	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Certain infectious and parasitic diseases"	"A00-B99"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Neoplasms"	"C00-D48"	872	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	152	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Mental and behavioural disorders"	"F01-F99"	149	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the nervous system"	"G00-G98"	323	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the circulatory system"	"I00-I99"	1368	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the respiratory system"	"J00-J98"	406	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the digestive system"	"K00-K92"	161	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Diseases of the genitourinary system"	"N00-N98"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Certain conditions originating in the perinatal period"	"P00-P96"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	99	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2016"	"2016/08"	"External causes of morbidity and mortality"	"V01-Y89"	356	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Aug., 2016"	"2016/08"			4199	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Certain infectious and parasitic diseases"	"A00-B99"	107	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Neoplasms"	"C00-D48"	913	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	142	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Mental and behavioural disorders"	"F01-F99"	139	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Diseases of the nervous system"	"G00-G98"	340	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Diseases of the circulatory system"	"I00-I99"	1313	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Diseases of the respiratory system"	"J00-J98"	401	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Diseases of the digestive system"	"K00-K92"	159	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Diseases of the genitourinary system"	"N00-N98"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Certain conditions originating in the perinatal period"	"P00-P96"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	88	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2016"	"2016/09"	"External causes of morbidity and mortality"	"V01-Y89"	345	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Sep., 2016"	"2016/09"			4122	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Certain infectious and parasitic diseases"	"A00-B99"	126	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Neoplasms"	"C00-D48"	898	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	130	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Mental and behavioural disorders"	"F01-F99"	176	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the nervous system"	"G00-G98"	365	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the circulatory system"	"I00-I99"	1340	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the respiratory system"	"J00-J98"	459	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the digestive system"	"K00-K92"	158	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Diseases of the genitourinary system"	"N00-N98"	127	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Certain conditions originating in the perinatal period"	"P00-P96"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2016"	"2016/10"	"External causes of morbidity and mortality"	"V01-Y89"	370	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Oct., 2016"	"2016/10"			4344	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Certain infectious and parasitic diseases"	"A00-B99"	133	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Neoplasms"	"C00-D48"	876	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	160	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Mental and behavioural disorders"	"F01-F99"	195	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the nervous system"	"G00-G98"	378	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the circulatory system"	"I00-I99"	1394	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the respiratory system"	"J00-J98"	458	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the digestive system"	"K00-K92"	180	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Diseases of the genitourinary system"	"N00-N98"	144	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Certain conditions originating in the perinatal period"	"P00-P96"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2016"	"2016/11"	"External causes of morbidity and mortality"	"V01-Y89"	321	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Nov., 2016"	"2016/11"			4428	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Certain infectious and parasitic diseases"	"A00-B99"	133	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Neoplasms"	"C00-D48"	946	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	181	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Mental and behavioural disorders"	"F01-F99"	191	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the nervous system"	"G00-G98"	426	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the circulatory system"	"I00-I99"	1602	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the respiratory system"	"J00-J98"	550	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the digestive system"	"K00-K92"	167	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Diseases of the genitourinary system"	"N00-N98"	122	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Certain conditions originating in the perinatal period"	"P00-P96"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	139	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2016"	"2016/12"	"External causes of morbidity and mortality"	"V01-Y89"	366	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"	"Dec., 2016"	"2016/12"			4896	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Certain infectious and parasitic diseases"	"A00-B99"	156	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Neoplasms"	"C00-D48"	918	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	172	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Mental and behavioural disorders"	"F01-F99"	215	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Diseases of the nervous system"	"G00-G98"	422	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Diseases of the circulatory system"	"I00-I99"	1576	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2017"	"2017/01"	"Diseases of the respiratory system"	"J00-J98"	573	Not Applicable	Not Applicable
